,Unnamed: 0,Dwelling Type,Zone Classification,Linear Feet of Street,Plot Size,Type of Road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to Various Conditions,Overall Material Finish of House,Overall Condition,Original Construction Date,Remodel Date of Property,Type of Roof,Roof Material,Exterior Covering on House,Masonry veneer type,Masonry veneer area,Exterior Quality of the Material,Present Exterior condition of the Material,Type of Foundation,Height of the basement,General condition of Basement,Walkout or garden-level walls,Basement Finished area rating,Total basement area in square foot,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical system,Total living area in square feet,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(excluding bathrooms),Home functionality,Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Capacity of cars in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Fence quality,Month sold,Year Sold,Type of sale,Condition of sale,Sale Price,TotalBathrooms,Total porch area in square feet,Age of property,Price per square foot of property
0,0,2-STORY 1946 & NEWER,Residential Low-Density,65,8450,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,196,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,856,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1710,3,1,Good,8,Typical Functionality,0,No Fireplace,Attached to the home,2003,Rough Finished,2,548,Typical/Average,Typical/Average,Paved,No Fence,Feb,2008,Warranty Deed - Conventional,Normal Sale,208500,3.5,61,5,24.674556213017752
1,1,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Veenker,Adjacent to feeder streetNormal,Above Average,Very Good,1976,1976,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Living QuartersUnfinished,1262,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1262,3,1,Average/Typical,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976,Rough Finished,2,460,Typical/Average,Typical/Average,Paved,No Fence,May,2007,Warranty Deed - Conventional,Normal Sale,181500,2.5,298,31,18.90625
2,2,2-STORY 1946 & NEWER,Residential Low-Density,68,11250,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Good,Average,2001,2002,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,162,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living QuartersUnfinished,920,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1786,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001,Rough Finished,2,608,Typical/Average,Typical/Average,Paved,No Fence,Sep,2008,Warranty Deed - Conventional,Normal Sale,223500,3.5,42,7,19.866666666666667
3,3,2-STORY 1945 & OLDER,Residential Low-Density,60,9550,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Crawford,NormalNormal,Good,Average,1915,1970,Gable,Standard (Composite) Shingle,Wood SidingWd Shng,NA,0,Average/Typical,Average/Typical,Brick & Tile,Good (90-99 inches),Good,No Exposure,Average Living QuartersUnfinished,756,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1717,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1998,Unfinished,3,642,Typical/Average,Typical/Average,Paved,No Fence,Feb,2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",140000,2.0,307,91,14.659685863874346
4,4,2-STORY 1946 & NEWER,Residential Low-Density,84,14260,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Northridge,NormalNormal,Very Good,Average,2000,2000,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,350,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1145,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2198,4,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2000,Rough Finished,3,836,Typical/Average,Typical/Average,Paved,No Fence,Dec,2008,Warranty Deed - Conventional,Normal Sale,250000,3.5,276,8,17.53155680224404
5,5,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,85,14115,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Mitchell,NormalNormal,Average,Average,1993,1995,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Wood,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,796,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1362,1,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Attached to the home,1993,Unfinished,2,480,Typical/Average,Typical/Average,Paved,Minimum Privacy,Oct,2009,Warranty Deed - Conventional,Normal Sale,143000,2.5,390,16,10.131066241586964
6,6,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,10084,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,NormalNormal,Very Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Stone,186,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1686,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1694,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004,Rough Finished,2,636,Typical/Average,Typical/Average,Paved,No Fence,Aug,2007,Warranty Deed - Conventional,Normal Sale,307000,3.0,312,3,30.444268147560493
7,7,2-STORY 1946 & NEWER,Residential Low-Density,0,10382,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northwest Ames,"Near positive off-site feature--park, greenbelt, etcNormal",Good,Above Average,1973,1973,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Stone,240,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living QuartersBelow Average Living Quarters,1107,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2090,3,1,Average/Typical,7,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1973,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,No Fence,Nov,2009,Warranty Deed - Conventional,Normal Sale,200000,3.5,667,36,19.264110961279137
8,8,1-1/2 STORY FINISHED ALL AGES,Residential Medium,51,6120,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,Adjacent to arterial streetNormal,Good,Average,1931,1950,Gable,Standard (Composite) Shingle,Brick FaceWd Shng,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,952,Gas forced warm air furnace,Good,Yes,60 AMP Fuse Box and mostly Romex wiring (Fair),1774,2,2,Average/Typical,8,Minor Deductions 1,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1931,Unfinished,2,468,Fair,Typical/Average,Paved,No Fence,Apr,2008,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",129900,2.0,295,77,21.225490196078432
9,9,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,50,7420,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Brookside,Adjacent to arterial streetAdjacent to arterial street,Average,Above Average,1939,1950,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,991,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1077,2,2,Average/Typical,5,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1939,Rough Finished,1,205,Good,Typical/Average,Paved,No Fence,Jan,2008,Warranty Deed - Conventional,Normal Sale,118000,2.0,4,69,15.902964959568733
